"","GEOID10","stops2010","pop2010","stops2011","pop2011","stops2012","pop2012"
"1292",36061019100,333,8807,327,8807,338,8807
"1293",36061019200,331,3584,608,3584,319,3584
"1294",36061019300,228,9009,427,9009,391,9009
"1295",36061019400,1130,6558,1112,6558,698,6558
"1296",36061019500,344,8197,533,8197,373,8197
"1297",36061019600,3429,3931,2006,3931,1654,3931
"1298",36061019701,242,641,337,641,284,641
"1299",36061019702,305,2090,224,2090,181,2090
"1300",36061019800,608,1914,616,1914,382,1914
"1301",36061019900,142,10064,74,10064,52,10064
"1302",36061020000,307,2581,420,2581,259,2581
"1303",36061020101,52,1731,47,1731,27,1731
"1304",36061020102,592,3865,594,3865,476,3865
"1305",36061020300,83,3633,50,3633,66,3633
"1306",36061020500,82,5322,49,5322,46,5322
"1307",36061020600,492,2942,448,2942,233,2942
"1308",36061020701,22,3329,15,3329,30,3329
"1309",36061020800,447,4591,891,4591,589,4591
"1310",36061020901,565,3673,661,3673,865,3673
"1311",36061021000,1065,6637,1566,6637,985,6637
"1312",36061021100,482,10330,672,10330,816,10330
"1313",36061021200,706,4412,863,4412,726,4412
"1314",36061021303,392,5619,443,5619,374,5619
"1315",36061021400,424,3001,598,3001,516,3001
"1316",36061021500,392,3068,436,3068,318,3068
"1317",36061021600,938,7556,1150,7556,914,7556
"1318",36061021703,323,6,337,6,366,6
"1319",36061021800,917,6617,1166,6617,970,6617
"1320",36061021900,949,6023,1277,6023,1631,6023
"1321",36061022000,351,5370,391,5370,327,5370
"1322",36061022102,410,2175,459,2175,324,2175
"1323",36061022200,1164,2644,1730,2644,1424,2644
"1324",36061022301,524,7917,749,7917,668,7917
"1325",36061022302,65,3385,139,3385,97,3385
"1326",36061022400,1420,6427,1666,6427,1158,6427
"1327",36061022500,607,10149,881,10149,677,10149
"1328",36061022600,527,3778,582,3778,407,3778
"1329",36061022700,552,4864,735,4864,576,4864
"1330",36061022800,705,5248,876,5248,535,5248
"1331",36061022900,1063,8300,1593,8300,1357,8300
"1332",36061023000,1444,8106,2025,8106,1832,8106
"1333",36061023100,384,5865,683,5865,561,5865
"1334",36061023200,1466,7980,1770,7980,1819,7980
"1335",36061023300,493,6527,995,6527,852,6527
"1336",36061023400,292,4465,258,4465,251,4465
"1337",36061023501,451,6004,725,6004,371,6004
"1338",36061023502,248,1819,184,1819,126,1819
"1339",36061023600,774,6404,659,6404,728,6404
"1340",36061023700,527,6811,699,6811,745,6811
"1341",36061023801,5,9723,2,9723,NA,NA
"1342",36061023802,1,1938,4,1938,1,1938
"1343",36061023900,197,2371,326,2371,153,2371
"1344",36061024000,96,1648,59,1648,33,1648
"1345",36061024100,484,7642,765,7642,388,7642
"1346",36061024200,991,3396,704,3396,454,3396
"1347",36061024301,204,3946,382,3946,148,3946
"1348",36061024302,1128,7370,1152,7370,965,7370
"1349",36061024500,811,14934,1736,14934,512,14934
"1350",36061024700,181,7074,345,7074,217,7074
"1351",36061024900,58,1101,54,1101,40,1101
"1352",36061025100,736,2526,1006,2526,645,2526
"1353",36061025300,307,11236,412,11236,318,11236
"1354",36061025500,213,5771,295,5771,209,5771
"1355",36061025700,1350,3876,1572,3876,1302,3876
"1356",36061025900,412,3496,634,3496,468,3496
"1357",36061026100,636,12087,955,12087,636,12087
"1358",36061026300,348,8729,615,8729,388,8729
"1359",36061026500,209,7021,413,7021,208,7021
"1360",36061026700,58,2173,68,2173,123,2173
"1361",36061026900,772,8428,1768,8428,1471,8428
"1362",36061027100,774,8196,1123,8196,1228,8196
"1363",36061027300,72,6370,242,6370,105,6370
"1364",36061027500,14,2846,30,2846,28,2846
"1365",36061027700,430,7086,1212,7086,1126,7086
"1366",36061027900,522,10292,832,10292,671,10292
"1367",36061028100,64,2867,94,2867,44,2867
"1368",36061028300,210,7627,303,7627,279,7627
"1369",36061028500,617,7216,857,7216,756,7216
"1370",36061028700,186,4035,400,4035,369,4035
"1371",36061029100,739,11288,1263,11288,870,11288
"1372",36061029300,782,9033,1039,9033,1001,9033
"1373",36061029500,95,6941,227,6941,154,6941
"1374",36061029700,19,161,23,161,29,161
"1375",36061029900,346,3834,498,3834,549,3834
"1376",36061030300,219,3753,338,3753,207,3753
"1377",36061030700,15,3434,42,3434,31,3434
"1378",36061030900,273,8463,357,8463,193,8463
"1379",36061031100,327,2,517,2,269,2
"1380",36061031703,20,7709,24,7709,22,7709
"1381",36061031704,6,5677,84,5677,103,5677
"1382",36061031900,3,11,6,11,3,11
"1383",36081000100,80,4949,82,4949,69,4949
"1384",36081000200,154,2829,173,2829,128,2829
"1385",36081000400,428,4413,479,4413,341,4413
"1386",36081000600,386,3729,412,3729,195,3729
"1387",36081000700,190,4790,160,4790,120,4790
"1388",36081000800,207,3360,232,3360,181,3360
"1389",36081001000,169,3502,276,3502,145,3502
"1390",36081001200,138,3871,197,3871,82,3871
"1391",36081001400,109,3683,139,3683,93,3683
"1392",36081001600,177,2831,169,2831,174,2831
"1393",36081001800,246,2931,186,2931,249,2931
"1394",36081001900,420,1076,396,1076,298,1076
"1395",36081002000,105,1797,180,1797,92,1797
